,reviews
71,"We stayed one night on a family visit to my daughter's camp. It was easy to reach, easy to find and perfect for a short stay. The pool is very large, but almost too warm, and the hot tub is uninviting. We'd just come from a Hilton Garden Inn, which is a very good step up, so a comparison to the Waterville Grand Hotel is a bit loaded. We stayed at the Comfort Inn last year, and I'll just say we were determined NOT to stay there again. I'd go back to the Best Western, but I'd suggest you drop the ""grand"" from the name."
72,"Great service, comfortable hotel. Rug was wet in our room by the window. Otherwise, a super hotel - and a great breakfast!"
73,"Great service, comfortable hotel. Rug was wet in our room by the window. Otherwise, a super hotel - and a great breakfast!"
74,excellent place to stay and food was super... great breakfast and friendly staff
75,"The room is comfortable, clean, spacious bathroom and adequate amenities"
76,"Visiting for the night, great breakfast"
77,"We had 3 of us and they had no queen rooms available!! Beds were small! Breakfast was not included as written! Breakfast was a $14. Voucher and for only 2 people, not 3! So, we did not use it at all! Went elsewhere to eat! Also, when Maid service came in room to make beds and such ... They didn't leave fresh towels or new coffee packets!"
78,"Close to Venice and decent hotel, breakfast was okay with no too much selection but has everything you need."
79,"If you need an elevator this is not the place to go. It is in a strange place. The breakfast was not at all to rave about. Muffins, scrambled eggs cold cereal, juice. We didn't use the pool, no time for that."
80,The staff were incredibly friendly and helpful. After 10 days they felt like family. The restaurant is very good as well. Was happy that my room had a refrigerator and a nice little view of the courtyard. My only hope for my next stay would be better cleaning/upkeep of the air conditioning/heating unit. I suffered awful upper respiratory symptoms when the unit was in use. I'm guessing the filters need to be cleaned and/or replaced more frequently.
81,I am a 75yr old Disabled Vet and had requested 2 bed room on first floor as I have walking disability from service. First thing get sent to 2nd floor King. Nobody even read reservation. Finally got a room in the Zoo section where doors had beware of cat signs posted on doors and hall stunk of cat urine. Did... More
82,"I always stay at this hotel when visiting my mother who lives in Madison, Me. Always very pleasant and cordial staff."
83,"Hotel was very clean and staff very nice. Beds are only double instead of Queen which makes traveling with two teenage boys not easy. Ordered a cot but really no room to set up had to block bathroom. Great for a two person stay, also free breakfast was for only two people, so had to pay for kids."
84,"This is my second stay recently. Rooms are decent but you can forget about the amenities they advertise. The pool is nice, but good luck finding a towel or staff person. Its not easy to get the complimentary breakfast....... you need to know the secret handshake then be prepared to wait an hour for a server and even more for the meal to cook. If you try to have breakfast there take a look around the restaurant and see how many table have food....... or more likely you will see empty tables with angry/hungry customers and 1 server trying to keep everyone happy. Its a decent hotel that does not hire enough staff to maintain the amenities. I feel bad for the employees of this hotel....... they are very pleasant but obviously over worked. This hotel is good if you need a place to crash but that is about it. I will try a different hotel when I am in Waterville again."
85,"The room was very clean. The staff was very friendly, polite, helpufl and professional."
86,great time and the breakfast was extra good the rest. in the hotel was also very good
87,great time and the breakfast was extra good the rest. in the hotel was also very good
88,"Didn't feel overly safe as the doors from the parking lot are left unlocked. I know, I know, we are in Maine... but still. Clean and well equipped... only complaint was lack of outlets for charging. Very inaccessible. Perfect for a quick stay. Very pleasant desk clerk :)"
89,"beautiful views of Venice in the lovely relaxed calmer area of Lido Di Venezia. Gorgeous sunsets and very easy to access Venice, rather than satying in the hustle and bustle. Close to only beaches in Venice. Staff were so helpful, especially Ivan and the lady we met on the desk each morning."
90,"Didn't feel overly safe as the doors from the parking lot are left unlocked. I know, I know, we are in Maine... but still. Clean and well equipped... only complaint was lack of outlets for charging. Very inaccessible. Perfect for a quick stay. Very pleasant desk clerk :)"
91,"They should clean the rugs around the elevators, The room was very clean"
92,Free breakfast was great dinner not so much. I don't know why I thought sweet potato encrusted haddock sounded good. They also buried it in a white gravy. Gravy does not belong on fish.
93,"Hotel was clean and room size was fine. Mini fridge and microwave in room were a plus. Pool area was nice with good sized pool and fitness equipment. Restaurant food was good (we got a 14 credit to use for breakfast between the three of us so it still cost 20) but service was very slow. The first floor, which we walked through to get to the elevator, reeked of cigarette smoke. This can be avoided by parking out back or using the stairs. My biggest complaint was the WIFI. I paid for a hotel rather than camping because I needed WIFI to get some work done. While I could get my phone to connect, my computer would not recognize the free signal. After 20 minutes on hold with the tech support group, the answer that I got was to sit next to the door. This worked to connect but the signal dropped again once I moved back into the room. The promise that they would reset the signal did not seem to be kept as this was an issue both nights I was there. Overall this was a decent hotel and much better than what others in our group experienced at competitors in the area."
94,"The hotel was very clean, comfortable, and accommodating to the fact that we had a dog. However the restaurant that is attached to the hotel is what they use for the 'included breakfast', which has the poorest customer service and rudest employees I've encountered in a while."
95,"It's a decent hotel for the price. They provide a solid breakfast, and the rooms are really nice. The only problem is their wifi is spotty if you're in the back of the building."
96,It was an overnighter to get away from some stuff
97,Stayed overnight for pleasure. Room was clean and well equipped. Pool was great.
98,"Ok overall - we stayed one night with our dogs. We were limited in our choices because of this. Hotel could use updating. Was a little bit noisy in the halls, but overall ok. Did not eat on site but at Governor's across the street."
99,"I just ran up to the middle of Maine for a one day business trip. All the people that I had interacted with were very nice, from the people at the hotel to the business staff and owner, and all the people at the various restaurants we ate at. This hotel is dog friendly which was the main reason for... More"
100,This is a great little hotel. We had a wonderful view from the room and patio. Good size. Breakfast was great even had North American breakfast foods. Only issue was the two twin beds pushed together. That was very uncomfortable.
101,"Rooms have been updated and are very nice.  Pool was a huge hit with our grandchildren but  needs an ""intensive"" cleaning.  They host birthday parties and it would be good if they posted times because it gets way too crazy to enjoy when that many kids are there."
102,"It was very good, but the closet area was not even wide enough for the coat hangers, could not open and shut doors with hangers hanging up"
103,"A good value. Remodeling, room was very comfortable. Lots of food and shopping available within walking distance. Good option for children, has pool."
104,Good value
105,I only booked this hotel because it was dog friendly
106,"We booked a one night stay at the Best Western on a trip to Maine. The was located right at the exit off Route 95. The check inn staff were pleasant and informative. Our room was large, clean and comfortable. It included a refrigerator and microwave as well as a small coffee brewer with the fixings. Our room charge also... More"
107,"We did not realize it is a dog friendly hotel and there were lots of dogs, including a yappy one right next to us. But I called the front desk and they took care of it. I am allergic to dogs but did not have any problem in our room. The breakfast service was horribly slow, both getting seated and waiting for coffee and food. Who wants to wait for coffee I finally got my own out in the hallway. . . . Our last morning we just skipped breakfast because we didn't want to wait."
108,Great place
109,Room was not clean. We didn't feel comfortable. Cigarette burns in comforter.
110,Room was not clean. We didn't feel comfortable. Cigarette burns in comforter.
111,"We stayed here for four nights in October. The hotel staff were welcoming, friendly and helpful. Assisted in booking tickets for the opera. The rooms were clean and comfortable- good shower, light and airy rooms with windows you could open wide. Beds were comfortable. Plenty of choice for breakfast. Spa at hotel nearby which we used while we were there."
112,"Nice staff. Nice location. We booked two nights at Russo hotel on Lido strip and two nights in the very center of Venice. This is a good balance. Lido is a bit further but it feels more local and is more relaxing too, it gave us a taste of Dolce Vita. We didn't see it on the hotel description but they offered us a taxi boat ride to Murano with another couple for free. The boat ride was very pleasant, they dropped us in a glass blowing factory shop, the glass making demonstration was nice and there was very little pressure to buy. Internet was free for 20 minutes/day but a bit slow like everywhere in Venice. So in short a good pick, good value for money."
113,"The hotel was comfortable.  It appeared to be popular with workers and truckers.  Families appeared to like the indoor swimming pool, which I did not use.  The restaurant appeared to be a place where contractors went."
114,Stayed overnight for pleasure. Room was clean and well equipped. Pool was great.
115,"While I wouldn't choose the spot for a long term stay, it's location was perfect for an on-the-way hotel, right on the Interstate. Loved the massive room and comfortable bed."
116,1. The door to the room was broken and did not shut properly.2. WiFi frequently stopped working and the staff would not help and told us that we had to work it out with the IT tech from some other company. I would expect the hotel to take care of this.3. We payed for 3 people but they said they would only provide breakfast for 2. I had an unpleasant haggle with the management to finally work this out
117,"Rooms were comfortable and clean and the staff was very peasant, great stay for the price. Had dinner one night in the restaurant which wasn't very good but there are some local pubs in the area which were very good. Breakfast in the restaurant was good. Overall the stay was a good value. Dear williamtO4368AZ - Thank you for taking the time to review our hotel! We're glad you enjoyed your stay, and we will be sure to pass your comments along to the staff at O'Brien's Restaurant :) We hope you'll stay with us again on our next trip to the Waterville area!"
118,There was someone else's stuff left in our washroom.  The person at the counter was snotty when she saw that I had reserved online.
119,"Fast friendly service by all staff.  Could tell rooms were renovated and clean and comfortable, pool area was a little tired with age but functional."
120,It ws just an over night but very good accommodations
121,"The front desk staff was very friendly and helpful. The room and facility was spotless. The restaurant was terrible. I made the mistake of ordering one of the specials, prime rib. It was without a doubt the worst prime rib I have ever eaten or should I say tried to eat. Our server asked how it was so I told... More"
122,"Clean room, comfortable beds, lots of pillows. My only complaint is the continental breakfast. Cold cereal, coffee, tea, OJ, toast and muffins. No fresh fruit or yogurt. They offer a full menu, but you pay for it."
123,"We were in Venice for the first time and would always book this hotel located on Lido. Friendly service, right on the canal with great views and relaxed parking."
124,"Clean room, comfortable beds, lots of pillows. My only complaint is the continental breakfast. Cold cereal, coffee, tea, OJ, toast and muffins. No fresh fruit or yogurt. They offer a full menu, but you pay for it."
125,The staff was fantastic. Nice room. Could have used more than 2 bath towels. It was a little noisy in the morning... I think it had to do with the washing machine... sounded like a loud helicopter. I was a little disappointed when I went to swim in the morning that there was a senior exercise class going on using the entire pool and only a single lap aisle so no room for me to take a swim. It was a good stay and I would stay there again.
126,"i had a great time nice hotel, friendly staff and clean room"
127,Hotel Great Staff Very friendly and helpful. Room very clean overall A rating
128,very nice!
129,My girlfriend and I visited Waterville Maine for my birthday and to see some of my family. Was one of the most relaxing vacations I've been on. This hotel is great with a relaxing hot tub and spacious rooms. Don't forget the great Ice cream next door at friendlys. I would recommend this hotel to any of my friends looking for a cheap getaway.
130,"Slightly tired hotel, but probably the best hotel in Waterville. Skip the in-house breakfast voucher & eat at Governors or Starbucks across the street."
131,"Slightly tired hotel, but probably the best hotel in Waterville. Skip the in-house breakfast voucher & eat at Governors or Starbucks across the street."
132,"The hotel has come of age and has hardly been renewed. The location is suitable for car travellers as a stage stop, because it is located directly on the motorway. It was pleasant that there was no typical American buffet, but was served at the table. When booking, there was a loan of 7 USD per person, which was sufficient for a simple fr."
133,"Arrived late (10:00 pm). Called ahead to give heads up of late arrival. When we arrived to check in, no one was at front desk. No sign. No human being. Nothing. Waited 15 minutes. Finally front desk person returned. Apologized. Said she had to change someone's sheets. Gross! Hotel was worn/shabby. Only plus was breakfast (included). Table service. Service was good. Food was good."
134,Nice and clean. Rooms are spacious with air conditioning. Good selection of breakfast. Within easy reach of San Marco. Quite location.
135,Great stay. friendly front desk staff. Breakfast in the restaurant was great but dinner was blah. Only issue with the room was the dust pilled up on the shelf where the towels are kept in the bathroom. Other then that I would stay here again.
136,"Need more staff in restraunt on busy weekend. Sat. morning breakfast a disaster. Long wait, wrong order. Otherwise a very good stay. And much better than in past years."
137,"I've been in worse hotels, but not in a long time."
138,"It feels unfair to complain about the amenities as the hotel was under renovations. However, I was extremely disappointed that the pool was closed for renovations. I was happy to see a brand new bed in our room, and the bathroom looked very nice. Until you pulled back the shower curtain. The same old bathtub. Very friendly staff, VERY convenient location. The kitchen lost our room service order, but did take six dollars off the bill. So I would recommend this hotel to others, but I would tell them to wait a while until they get the renos done and sort out a few issues."
139,Hotel smelled musty and had to move rooms water in shower would not turn off did not fell or smell clear either room would not stay again
140,"This hotel was being remodled and should not have been renting rooms on the second floor where we were assigned,it was a total shambles including large holes in the curtains and debris laying everywhere. How could they expect anyone to stay in that kind of environment. We looked at the room and left and rented another hotel, we had already signed in and were werelocked into the contrac with our prebooking through expedia. We are disappointed with expedia on this one."
141,"The hotel was fine, just know that smoking is allowed on some floors so there is lingering tobacco odor in some corridors. O'Brien's was a nice surprise, good food and great service. Also, a true breakfast is included with the price of the room, cooked to order not the typical complimentary breakfast buffet. The internet speed was good as well."
142,One night layover. Hotel was good for that but wouldn't want to stay more than that
143,"The hotel itself was quiet, and the location was easy to find but could use some updates.  I went to use the gym and two out of the three treadmills were broken.  The room was also beside the pool making it very humid and uncomfortable.  The shower located in my room leaked all over the bathroom floor."
144,"The inside of the Hotel is old and it smells. The elevators had a n harsh smell of oil. When I reserved my room through Hotels.com it mentioned ""Free Breakfast"" - what a joke. It's a voucher (1 person is allowed $7 off a breakfast of the menu, and $14 total off for 2 or more people at the restaurant. It's really false publicity! I will not be staying at that hotel again. Bathroom in the room was not cleaned. Mirrors were dirty. It's like the rooms were done in a hurry! Roll away bed was pushed in the room with no pillow and a very thin blanket. The reservation was for 3. Just a set of 2 towels. We had the heat full blast, and we froze in the middle of the night. Very poor managed!"
145,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
146,"traveling with just myself and 2 small kids and the staff was helpful and kind,the food in the rest. was great and affordable."
147,"the hotel was great , clean etc. but that one desk lady was like not to helpful - and the business center is a desk next to the hotel desk and the computer didn't have Microsoft installed and that one desk lady is totally computer unaware and could not do anything to help with the business center malfunctions - except to say. yes, those computers didn't work right and that she knew you couldn't open any attachments and that staples was across the street."
148,"nice experience, breakfast the first day was questionable, but we tried the next day and was pleased."
149,Lovely stay Lucky with the weather sï¿1/2ï¿1/2 we could sit outside and have dinner
150,Very nice room.loved the pool. Could have been lower in price but would stay there again.
151,Checked in unexepectedly at the last minute. Never spent enough time at the hotel to make any other fair comments. Everything was perfect for what we needed.
152,"OK hotell i utkanten av Waterville. Ganska lugnt age. Hotellet har pool, restaurang och bar och"
153,"No coffee in lobby, front desk suggested I but some at the hotel restaurant. Parking lot was icy and not plowed, even after several complaints. Did not comply with Platinum Status rules. Reservations didn't match room location. Front desk staff was not knowledgeable. Room was nice."
154,"All the hallways smell of smoke. The room was dirty when we checked in. The next day they never sent housekeeping to clean. Did not give us clean towels in spite of the request for those and housekeeping services. They said the housekeepers had all gone home. The restaurant was terrible service. One person waiting on the room over breakfast the first day. Twenty minutes to receive a menu and then nothing after the meal was delivered. We got our own flatware and coffee. The second day there was more staff but the waitress decided to change my plain yogurt to blueberry. I am allergic. Had to send it back. I asked for a manager to contact me but no one called. Called corporate and they wanted to give me points. Called Mr. Kong, the president of Best Western and they will give me a 50.00 credit, the first offer was a gift certificate for 50.00 No thanks, I wont ever stay in another Best Western again. The hotel manager has still not contacted me, its been three weeks."
155,its also a naborhood pool.
156,to share your opinion of this businesswith YP visitors across the United Statesand in your neighborhood
157,"Cramped location with odd entry by traffic light, clearly caters to groups and sports teams. Nicest staff ever! Room was clean and comfortable, is a single story building, so rooms go on forever down long hallways. Lucky we were near the gym, which was better than most. Great breakfast at a very reasonable price. Room includes a voucher for up to 14.00 of your breakfast order, so you get a hot meal straight from the short order cook, not some steam table/cereal bar like most places. Portions were huge! Free buffet with pizza, cheese/crackers, veggies and dip from 4-7pm on Friday evenings in the bar. Facility is a bit quirky and a bit tired, but staff is warm and friendly. Wish we had eaten dinner there and not at the disappointing Chinese restaurant next door!"
158,"We enjoyed two great days away. They let us check in early and check out late for free. The hot tub was great, pool was a little loud because of school vacation but the attendant was the friendliest gentleman. Wifi didn't work well with just one of our three devices. Breakfast was definitely worth getting out of bed for. Will definitely consider staying there again for a getaway or business."
159,"This hotel is showing its age. Although my room was clean, everything seemed a little run-down. The carpets seemed old and the door frame had light from the hallway shining through it. The security latch was loose and missing at least one screw. I booked the room in a hurry for a last minute trip. When I got to Watervilled I remembered there are some much nicer places to stay such as the Hampton Inn and the Fireside Inn. For some reason I didn't see these on the hotels.com website."
160,Excellent for short stay. Very comfortable bed for good night's sleep. Breakfast a bit disorganised and could cause a problem if on tight schedule.
161,Excellent free breakfast & friendly staff.
162,Good parking for vehicles w/ trailers.
163,Old and run down. Tried to eat at the restaurant in the hote for breakfast and the service was so terrible we walked out. I would not stay there again.
164,"The room was very large, comfortable bed, very clean and most important it was very quiet. The breakfast was reasonably priced and very good!!"
165,"staff were great ,rooms very clean, bed was comfortable and very close for all your shopping needs"
166,"Room were clean, Bed was comfortable, bathroom was functional. Skip the breakfast the service is very, very slow and food is sub par, they overcooked the eggs Benedict I ordered, plus the cost of 4.25 for juice is expensive. I would recommend going across the street to the Governor's Restaurant Bakery. The front desk was very helpful and accommodating.... Dear Lawrence S - Thank you for staying with us and taking the time to write this review. We're glad you enjoyed your room and our helpful staff! I apologize that you did not enjoy your breakfast at O'Brien's. We will pass along your comments to their management!"
